Donor.ROI,Image,User,Stage.Labels,Quality,Notes,Time,cell_id,cell_area,radius
aaaaimck-1,ROI1_aaaaimck-1.png,Taylor,early transitioning,good,,22:31.9,aaaaimck-1,669.2156493,200
aaaalpdj-1,ROI1_aaaalpdj-1.png,Taylor,late transitioning,good,,23:55.1,aaaalpdj-1,790.2795599,200
