sample,cell,path
roi_1,aaafgede-1,/home/babiddy/xenium_nb_results_downsampled_follicle_test4/roi_1/create_follicle_sdata/output/aaafgede-1.zarr
roi_1,aaagafli-1,/home/babiddy/xenium_nb_results_downsampled_follicle_test4/roi_1/create_follicle_sdata/output/aaagafli-1.zarr
