sample,cell_type,cluster_v2
ROI1_A,oocyte,6
ROI1_A,granulosa,7
ROI1_A,Immune,2
ROI1_A,Stromal,3
ROI1_A,Stromal,4
ROI1_A,Stromal,5
ROI1_A,Endothelial,1
ROI1_A,theca,
ROI1_A,Pericyte,
ROI1_B,oocyte,1
ROI1_B,Immune,3
ROI1_B,Endothelial,2
ROI1_B,Pericyte,4
ROI1_B,Stromal,5
ROI1_B,Stromal,6
ROI1_B,Stromal,7
ROI1_B,Stromal,8
ROI1_B,granulosa,
ROI1_B,theca,
