sample,cell,path
roi_1,aaaaimck-1,/home/babiddy/xenium_nb_results_fresh/roi_1/subset_follicle/output/aaaaimck-1.zarr
roi_1,aaaalpdj-1,/home/babiddy/xenium_nb_results_fresh/roi_1/subset_follicle/output/aaaalpdj-1.zarr
