# Resolution per sample for the 6-sample ovary cohort, chosen by reading cluster_report's
# sweep slides (UMAP and tissue) rather than off the cluster counts. Brent's calls,
# 2026-08-10.
#
# Cluster count at the chosen resolution, and the sweep it was picked out of (0.1 .. 1.0):
#   roi_1  0.7 -> 13    4  5  9 10 11 12 13 15 15 16
#   roi_2  0.7 -> 12    3  4  6  7  8 11 12 16 17 17
#   roi_3  0.7 -> 16    7  9 10 11 13 15 16 18 18 18
#   roi_4  0.4 -> 14    2  2  7 14 19 21 23 25 26 28
#   roi_5  0.6 -> 12    4  8  8 10 12 12 13 14 14 15
#   roi_6  0.7 -> 13    3  5  6  7  9 11 13 15 16 16
#
# roi_4 is the one to revisit if its calls look merged: its sweep is steepest here, going
# 7 -> 14 -> 19 clusters across 0.3, 0.4 and 0.5, so a step either way moves it most.
sample,resolution
roi_1,0.7
roi_2,0.7
roi_3,0.7
roi_4,0.4
roi_5,0.6
roi_6,0.7
